motorcycle_count,car_count,stopped_vehicles,pcu_load,average_speed,label
0,1,0,1.0,2.4083189157584592,1
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,1,0,1.0,15.0,1
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,1,0,1.0,15.0,1
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
1,0,0,0.3,8.836288813749809,1
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,1,0,1.0,15.0,1
0,1,0,1.0,3.059411708155671,1
0,1,0,1.0,3.1304951684997055,1
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
1,0,1,0.3,1.131370849898476,1
1,0,1,0.3,0.7211102550927978,1
2,0,1,0.6,0.447213595499958,1
2,0,1,0.6,1.2041594578792296,1
1,0,1,0.3,0.2,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.2,1
1,0,1,0.3,0.282842712474619,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.2,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.0,1
2,0,1,0.6,3.2016124838541646,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.2,1
1,0,1,0.3,0.2,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.2,1
1,0,1,0.3,0.2,1
1,0,1,0.3,0.282842712474619,1
1,0,1,0.3,0.2,1
2,0,1,0.6,0.2,1
2,0,1,0.6,1.7569707983776606,1
2,0,1,0.6,0.9,1
2,0,2,0.6,0.5099019513592784,1
2,0,2,0.6,0.4,1
2,0,2,0.6,0.2,1
2,0,2,0.6,0.2,1
2,0,2,0.6,0.2414213562373095,1
2,0,2,0.6,0.1,1
2,0,2,0.6,0.2,1
2,0,2,0.6,0.2,1
2,0,2,0.6,0.1,1
2,0,2,0.6,0.1414213562373095,1
2,0,2,0.6,0.3414213562373095,1
2,0,2,0.6,0.30000000000000004,1
2,0,2,0.6,0.1,1
2,0,2,0.6,0.1,1
2,0,2,0.6,0.416227766016838,1
2,0,2,0.6,0.2,1
2,0,2,0.6,0.2,1
2,0,2,0.6,0.323606797749979,1
2,0,1,0.6,1.104536101718726,1
2,0,1,0.6,2.723606797749979,1
2,0,1,0.6,0.9029986668237004,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.2,1
1,0,1,0.3,0.6,1
1,0,1,0.3,0.447213595499958,1
1,0,1,0.3,0.6,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.2,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.282842712474619,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.282842712474619,1
1,0,1,0.3,0.2,1
1,0,1,0.3,0.6,1
1,0,1,0.3,0.4,1
1,0,1,0.3,0.2,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.0,1
1,0,1,0.3,0.6,1
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
1,0,0,0.3,4.280186911806539,1
1,0,0,0.3,2.690724809414742,1
1,0,0,0.3,3.944616584663204,1
1,0,0,0.3,15.0,1
2,0,0,0.6,2.607729810914984,1
1,0,0,0.3,4.47213595499958,1
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
1,0,0,0.3,15.0,1
1,0,0,0.3,5.188448708429139,1
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
1,0,0,0.3,15.0,1
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,1,0,1.0,15.0,1
0,1,0,1.0,2.630589287593181,1
0,1,0,1.0,3.104834939252005,1
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
0,0,0,0.0,15.0,0
